[s],CH1[V]
-1.1876E+02,2.623E-01
-1.1872E+02,2.583E-01
-1.1868E+02,2.583E-01
-1.1864E+02,2.543E-01
-1.1860E+02,2.503E-01
-1.1856E+02,2.463E-01
-1.1852E+02,2.463E-01
-1.1848E+02,2.423E-01
-1.1844E+02,2.383E-01
-1.1840E+02,2.383E-01
-1.1836E+02,2.343E-01
-1.1832E+02,2.303E-01
-1.1828E+02,2.303E-01
-1.1824E+02,2.263E-01
-1.1820E+02,2.263E-01
-1.1816E+02,2.223E-01
-1.1812E+02,2.183E-01
-1.1808E+02,2.143E-01
-1.1804E+02,2.103E-01
-1.1800E+02,2.103E-01
-1.1796E+02,2.063E-01
-1.1792E+02,2.023E-01
-1.1788E+02,2.023E-01
-1.1784E+02,1.983E-01
-1.1780E+02,1.943E-01
-1.1776E+02,1.903E-01
-1.1772E+02,1.823E-01
-1.1768E+02,1.823E-01
-1.1764E+02,1.783E-01
-1.1760E+02,1.823E-01
-1.1756E+02,1.743E-01
-1.1752E+02,1.703E-01
-1.1748E+02,1.663E-01
-1.1744E+02,1.623E-01
-1.1740E+02,1.583E-01
-1.1736E+02,1.543E-01
-1.1732E+02,1.503E-01
-1.1728E+02,1.503E-01
-1.1724E+02,1.423E-01
-1.1720E+02,1.383E-01
-1.1716E+02,1.343E-01
-1.1712E+02,1.303E-01
-1.1708E+02,1.263E-01
-1.1704E+02,1.223E-01
-1.1700E+02,1.183E-01
-1.1696E+02,1.183E-01
-1.1692E+02,1.063E-01
-1.1688E+02,1.023E-01
-1.1684E+02,9.830E-02
-1.1680E+02,9.430E-02
-1.1676E+02,8.630E-02
-1.1672E+02,8.230E-02
-1.1668E+02,7.830E-02
-1.1664E+02,7.430E-02
-1.1660E+02,6.630E-02
-1.1656E+02,5.830E-02
-1.1652E+02,5.430E-02
-1.1648E+02,4.630E-02
-1.1644E+02,4.230E-02
-1.1640E+02,3.830E-02
-1.1636E+02,3.430E-02
-1.1632E+02,2.630E-02
-1.1628E+02,1.430E-02
-1.1624E+02,1.030E-02
-1.1620E+02,6.305E-03
-1.1616E+02,-5.695E-03
-1.1612E+02,-9.695E-03
-1.1608E+02,-1.770E-02
-1.1604E+02,-2.170E-02
-1.1600E+02,-2.970E-02
-1.1596E+02,-3.770E-02
-1.1592E+02,-4.970E-02
-1.1588E+02,-4.970E-02
-1.1584E+02,-6.170E-02
-1.1580E+02,-6.970E-02
-1.1576E+02,-8.170E-02
-1.1572E+02,-8.570E-02
-1.1568E+02,-9.370E-02
-1.1564E+02,-1.057E-01
-1.1560E+02,-1.137E-01
-1.1556E+02,-1.257E-01
-1.1552E+02,-1.337E-01
-1.1548E+02,-1.337E-01
-1.1544E+02,-1.457E-01
-1.1540E+02,-1.537E-01
-1.1536E+02,-1.617E-01
-1.1532E+02,-1.697E-01
-1.1528E+02,-1.777E-01
-1.1524E+02,-1.817E-01
-1.1520E+02,-1.857E-01
-1.1516E+02,-1.897E-01
-1.1512E+02,-2.017E-01
-1.1508E+02,-2.017E-01
-1.1504E+02,-2.097E-01
-1.1500E+02,-2.137E-01
-1.1496E+02,-2.177E-01
-1.1492E+02,-2.137E-01
-1.1488E+02,-2.177E-01
-1.1484E+02,-2.177E-01
-1.1480E+02,-2.177E-01
-1.1476E+02,-2.177E-01
-1.1472E+02,-2.177E-01
-1.1468E+02,-2.137E-01
-1.1464E+02,-2.177E-01
-1.1460E+02,-2.137E-01
-1.1456E+02,-2.097E-01
-1.1452E+02,-2.137E-01
-1.1448E+02,-2.137E-01
-1.1444E+02,-2.097E-01
-1.1440E+02,-2.097E-01
-1.1436E+02,-2.097E-01
-1.1432E+02,-2.097E-01
-1.1428E+02,-2.017E-01
-1.1424E+02,-2.057E-01
-1.1420E+02,-2.097E-01
-1.1416E+02,-2.057E-01
-1.1412E+02,-2.017E-01
-1.1408E+02,-2.057E-01
-1.1404E+02,-2.017E-01
-1.1400E+02,-2.017E-01
-1.1396E+02,-2.017E-01
-1.1392E+02,-2.017E-01
-1.1388E+02,-2.017E-01
-1.1384E+02,-2.017E-01
-1.1380E+02,-1.977E-01
-1.1376E+02,-1.977E-01
-1.1372E+02,-1.977E-01
-1.1368E+02,-1.977E-01
-1.1364E+02,-1.937E-01
-1.1360E+02,-1.937E-01
-1.1356E+02,-1.937E-01
-1.1352E+02,-1.937E-01
-1.1348E+02,-1.897E-01
-1.1344E+02,-1.897E-01
-1.1340E+02,-1.857E-01
-1.1336E+02,-1.897E-01
-1.1332E+02,-1.897E-01
-1.1328E+02,-1.897E-01
-1.1324E+02,-1.857E-01
-1.1320E+02,-1.857E-01
-1.1316E+02,-1.817E-01
